VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2003-01-01 00:07:17,2003-01-01 14:16:59,1.0,0.0,1.0,N,193,193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2008-12-31 23:35:00,2008-12-31 23:36:53,1.0,0.42,1.0,N,263,263,2.0,3.5,0.5,0.5,0.0,0.0,0.3,7.3,2.5
2,2009-01-01 00:06:19,2009-01-01 00:10:22,1.0,0.85,1.0,N,107,137,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,2009-01-01 00:48:28,2009-01-01 00:57:48,1.0,0.93,1.0,N,100,186,2.0,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
2,2009-01-01 00:49:38,2009-01-01 00:56:51,1.0,0.39,5.0,N,78,78,2.0,74.5,0.0,0.0,0.0,0.0,0.3,74.8,0.0
2,2009-01-01 00:54:39,2009-01-01 00:58:57,1.0,1.75,1.0,N,79,233,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2,2009-01-01 01:40:46,2009-01-01 01:57:40,1.0,2.26,1.0,N,142,236,2.0,11.0,1.0,0.5,0.0,0.0,0.3,15.3,2.5
2,2009-01-01 04:32:00,2009-01-01 04:40:11,1.0,1.37,1.0,N,237,161,2.0,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
2,2019-12-31 14:08:25,2019-12-31 14:14:29,6.0,0.95,1.0,N,114,231,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
2,2019-12-31 15:59:29,2020-01-01 15:31:22,1.0,16.17,1.0,N,164,132,1.0,45.5,0.0,0.5,2.0,0.0,0.3,50.8,2.5
2,2019-12-31 16:01:57,2019-12-31 16:10:58,1.0,1.38,1.0,N,170,90,1.0,8.0,0.5,0.5,2.95,0.0,0.3,14.75,2.5
2,2019-12-31 16:03:02,2019-12-31 16:32:48,6.0,6.12,1.0,N,43,255,2.0,23.5,0.5,0.5,0.0,0.0,0.3,27.3,2.5
2,2019-12-31 19:04:33,2019-12-31 19:13:59,1.0,1.34,1.0,N,116,42,1.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.0
2,2019-12-31 19:12:45,2019-12-31 19:15:19,1.0,0.18,1.0,N,79,107,1.0,3.5,0.5,0.5,1.46,0.0,0.3,8.76,2.5
2,2019-12-31 19:20:53,2019-12-31 19:50:08,1.0,7.55,1.0,N,229,244,1.0,25.5,0.5,0.5,5.86,0.0,0.3,35.16,2.5
2,2019-12-31 19:21:45,2019-12-31 19:24:36,1.0,0.56,1.0,N,249,68,2.0,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5
2,2019-12-31 19:39:44,2019-12-31 19:48:59,1.0,1.86,1.0,N,79,186,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
2,2019-12-31 23:05:13,2019-12-31 23:09:55,3.0,0.67,1.0,N,50,50,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2,2019-12-31 23:11:17,2019-12-31 23:24:15,2.0,2.89,1.0,N,43,229,1.0,12.0,0.5,0.5,2.0,0.0,0.3,17.8,2.5
2,2019-12-31 23:13:17,2019-12-31 23:14:38,1.0,0.0,1.0,N,164,164,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2,2019-12-31 23:27:57,2019-12-31 23:30:02,2.0,0.28,1.0,N,68,246,1.0,3.5,0.5,0.5,0.0,0.0,0.3,7.3,2.5
2,2019-12-31 23:48:07,2019-12-31 23:53:39,1.0,0.88,1.0,N,41,41,2.0,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0
2,2019-12-31 23:53:50,2020-01-01 00:04:04,1.0,3.19,1.0,N,263,107,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
2,2019-12-31 23:58:07,2020-01-01 00:15:26,1.0,11.01,1.0,N,138,76,2.0,30.5,0.5,0.5,0.0,0.0,0.3,31.8,0.0
2,2019-12-31 23:59:40,2020-01-01 00:09:06,2.0,2.19,1.0,N,231,158,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
1,2020-01-01 00:00:00,2020-01-01 00:13:03,1.0,2.2,1.0,N,68,170,1.0,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5
2,2020-01-01 00:00:00,2020-01-01 03:48:49,5.0,5.44,1.0,N,144,146,2.0,18.5,0.5,0.5,0.0,0.0,0.3,22.3,2.5
2,2020-01-01 00:00:14,2020-01-01 00:01:57,1.0,0.02,1.0,N,132,132,2.0,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
2,2020-01-01 00:00:23,2020-01-01 00:07:15,2.0,1.58,1.0,N,161,142,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
2,2020-01-01 00:00:41,2020-01-01 00:10:35,1.0,0.98,1.0,N,161,163,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
2,2020-01-01 00:00:47,2020-01-01 00:11:21,1.0,2.6,1.0,N,263,151,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
1,2020-01-01 00:00:50,2020-01-01 00:02:32,2.0,0.3,1.0,N,158,158,2.0,3.5,3.0,0.5,0.0,0.0,0.3,7.3,2.5
2,2020-01-01 00:00:54,2020-01-01 00:04:11,1.0,0.71,1.0,N,161,141,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
2,2020-01-01 00:00:55,2020-01-01 00:13:55,1.0,2.07,1.0,N,90,4,2.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
2,2020-01-01 00:01:46,2020-01-01 00:06:27,1.0,0.94,1.0,N,41,43,2.0,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0
2,2020-01-01 00:01:46,2020-01-01 00:24:05,1.0,4.74,1.0,N,151,229,1.0,19.5,0.5,0.5,4.66,0.0,0.3,27.96,2.5
2,2020-01-01 00:01:50,2020-01-01 00:10:41,1.0,1.23,1.0,N,232,79,1.0,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5
2,2020-01-01 00:01:59,2020-01-01 00:05:35,1.0,0.8,1.0,N,79,137,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
1,2020-01-01 00:02:07,2020-01-01 00:10:15,0.0,1.8,1.0,N,170,224,1.0,8.5,3.0,0.5,1.0,0.0,0.3,13.3,2.5
1,2020-01-01 00:02:12,2020-01-01 00:20:04,2.0,4.5,1.0,N,239,234,2.0,17.0,3.0,0.5,0.0,0.0,0.3,20.8,2.5
2,2020-01-01 00:02:18,2020-01-01 00:30:50,1.0,5.36,1.0,N,79,36,1.0,21.0,0.5,0.5,4.96,0.0,0.3,29.76,2.5
2,2020-01-01 00:02:21,2020-01-01 00:22:50,1.0,4.69,1.0,N,125,181,2.0,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5
1,2020-01-01 00:02:23,2020-01-01 00:24:05,1.0,12.7,1.0,Y,138,19,1.0,35.5,0.5,0.5,7.35,0.0,0.3,44.15,0.0
2,2020-01-01 00:02:28,2020-01-01 00:09:44,1.0,1.62,1.0,N,7,260,1.0,7.5,0.5,0.5,3.0,0.0,0.3,11.8,0.0
2,2020-01-01 00:02:31,2020-01-01 00:19:10,1.0,5.7,1.0,N,145,129,2.0,19.5,0.5,0.5,0.0,0.0,0.3,20.8,0.0
2,2020-01-01 00:02:38,2020-01-01 00:13:38,1.0,2.49,1.0,N,43,41,2.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
2,2020-01-01 00:02:44,2020-01-01 00:24:46,6.0,3.22,1.0,N,162,148,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
1,2020-01-01 00:02:47,2020-01-01 00:23:51,3.0,4.1,1.0,Y,236,143,1.0,17.0,3.0,0.5,4.15,0.0,0.3,24.95,2.5
1,2020-01-01 00:02:53,2020-01-01 00:16:51,1.0,2.4,1.0,N,90,232,1.0,11.0,3.0,0.5,1.2,0.0,0.3,16.0,2.5
2,2020-01-01 00:02:56,2020-01-01 00:12:44,6.0,1.47,1.0,N,234,79,1.0,8.0,0.5,0.5,3.54,0.0,0.3,15.34,2.5
2,2020-01-01 00:03:01,2020-01-01 00:06:14,1.0,0.37,1.0,N,113,234,2.0,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5
2,2020-01-01 00:03:15,2020-01-01 00:08:28,1.0,0.86,1.0,N,249,79,1.0,5.5,0.5,0.5,2.33,0.0,0.3,11.63,2.5
2,2020-01-01 00:03:17,2020-01-01 00:10:24,1.0,1.26,1.0,N,164,137,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2,2020-01-01 00:03:22,2020-01-01 00:33:32,1.0,7.48,1.0,N,190,258,2.0,27.0,0.5,0.5,0.0,0.0,0.3,28.3,0.0
1,2020-01-01 00:03:23,2020-01-01 00:06:45,1.0,0.7,1.0,N,249,231,1.0,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5
2,2020-01-01 00:03:25,2020-01-01 00:26:50,1.0,4.88,1.0,N,114,48,1.0,19.5,0.5,0.5,4.66,0.0,0.3,27.96,2.5
2,2020-01-01 00:03:32,2020-01-01 00:06:39,1.0,0.36,1.0,N,170,170,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
2,2020-01-01 00:03:36,2020-01-01 00:26:49,4.0,9.35,1.0,N,132,72,1.0,29.0,0.5,0.5,7.58,0.0,0.3,37.88,0.0
1,2020-01-01 00:03:50,2020-01-01 00:12:32,1.0,1.2,1.0,N,90,246,3.0,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5
2,2020-01-01 00:03:50,2020-01-01 00:21:37,2.0,4.61,1.0,N,113,181,1.0,17.0,0.5,0.5,3.0,0.0,0.3,23.8,2.5
2,2020-01-01 00:03:51,2020-01-01 00:07:18,4.0,0.37,1.0,N,114,114,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
1,2020-01-01 00:03:52,2020-01-01 00:14:56,1.0,0.3,1.0,N,48,48,2.0,8.0,3.0,0.5,0.0,0.0,0.3,11.8,2.5
1,2020-01-01 00:03:54,2020-01-01 00:15:52,1.0,1.8,1.0,N,114,224,1.0,9.5,3.0,0.5,3.3,0.0,0.3,16.6,2.5
2,2020-01-01 00:04:02,2020-01-01 00:17:35,5.0,4.11,1.0,N,234,263,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
2,2020-01-01 00:04:02,2020-01-01 00:10:49,1.0,1.25,1.0,N,170,229,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
2,2020-01-01 00:04:07,2020-01-01 00:05:02,5.0,0.22,1.0,N,193,193,2.0,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
2,2020-01-01 00:04:13,2020-01-01 00:09:25,2.0,0.86,1.0,N,88,261,2.0,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
2,2020-01-01 00:04:15,2020-01-01 00:15:02,1.0,3.08,1.0,N,148,97,1.0,12.0,0.5,0.5,3.95,0.0,0.3,19.75,2.5
2,2020-01-01 00:04:15,2020-01-01 00:17:50,2.0,1.46,1.0,N,107,90,1.0,9.5,0.5,0.5,1.0,0.0,0.3,14.3,2.5
2,2020-01-01 00:04:18,2020-01-01 00:13:11,1.0,1.88,1.0,N,249,261,1.0,8.0,0.5,0.5,1.77,0.0,0.3,13.57,2.5
2,2020-01-01 00:04:24,2020-01-01 00:12:31,1.0,1.94,1.0,N,170,211,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
